Date,Adj Close,Volume,Day_Perc_Change,Name
6/17/2020,9910.530273,4249680000,0.148144184,NASDAQ
6/18/2020,9943.049805,4294740000,0.3281311,NASDAQ
6/19/2020,9946.120117,6068130000,0.030878976,NASDAQ
6/22/2020,10056.48047,4468000000,1.109581934,NASDAQ
6/23/2020,10131.37012,5712450000,0.744690434,NASDAQ
6/24/2020,9909.169922,5549440000,-2.193189987,NASDAQ
6/25/2020,10017,4709620000,1.088184771,NASDAQ
6/26/2020,9757.219727,7279230000,-2.59339396,NASDAQ
6/29/2020,9874.150391,4306120000,1.198401463,NASDAQ
6/30/2020,10058.76953,4474000000,1.869721775,NASDAQ
7/1/2020,10154.62988,4595970000,0.953002767,NASDAQ
7/2/2020,10207.62988,4017530000,0.521929412,NASDAQ
7/6/2020,10433.65039,4529480000,2.214231027,NASDAQ
7/7/2020,10343.88965,4314110000,-0.860300467,NASDAQ
7/8/2020,10492.5,3999180000,1.436696998,NASDAQ
7/9/2020,10547.75,3992920000,0.526566595,NASDAQ
7/10/2020,10617.44043,3509810000,0.660713707,NASDAQ
7/13/2020,10390.83984,4822050000,-2.134229879,NASDAQ
7/14/2020,10488.58008,4419480000,0.940638442,NASDAQ
